Timestamp,TimetoaddEvent,Trialtime,ClipLength,ClipBeginsatTrialtime,Clip,Min.secTostart,Min.secToremove,Min.secTochoice,BatID_num,FruitID,Order,AmideTx,Amide,CageID,BatID,Sp,Fight,TimeofFight,Attacker,Outcome,Treatmentgroup,GroupSize,Comments,Sex,Age,Bag+Bat,Bag,Weight,Forearm,Tibia,RepStat
,,,29.07,0,1,3.16,,3.16,2,c1,1,con,Piperine,Cc_0516,Cc_0516_2,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,29.07,0,1,5.46,6,5.46,3,p5,2,pip,Piperine,Cc_0516,Cc_0516_3,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,29.07,0,1,,6.19,6.19,3,p3,3,pip,Piperine,Cc_0516,Cc_0516_3,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,29.07,0,1,7.38,,7.38,1,p1,4,pip,Piperine,Cc_0516,Cc_0516_1,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,29.07,0,1,,8.04,8.04,3,c4,5,con,Piperine,Cc_0516,Cc_0516_3,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,29.07,0,1,,4.45,4.45,3,p4,6,pip,Piperine,Cc_0516,Cc_0516_3,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,30.04,29.07,2,6.3,,6.3,5,c5,7,con,Piperine,Cc_0516,Cc_0516_5,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,30.04,29.07,2,,12.48,12.48,5,c3,8,con,Piperine,Cc_0516,Cc_0516_5,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,30.04,29.07,2,14.3,,14.3,5,c2,9,con,Piperine,Cc_0516,Cc_0516_5,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,22.49,89.21,4,6.17,,6.17,5,p2,10,pip,Piperine,Cc_0516,Cc_0516_5,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.33,0,0,8.54,,8.54,1,p1,1,pip,Piperine,Cp_0516,Cp_0516_1,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.33,0,0,13.12,,13.12,1,p2,2,pip,Piperine,Cp_0516,Cp_0516_1,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.33,0,0,,14.38,14.38,2,c5,3,con,Piperine,Cp_0516,Cp_0516_2,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.33,0,0,26,,26,4,p4,4,pip,Piperine,Cp_0516,Cp_0516_4,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.08,27.33,1,4.17,,4.17,4,p3,5,pip,Piperine,Cp_0516,Cp_0516_4,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,26.48,54.41,2,,6.05,6.05,2,c2,6,con,Piperine,Cp_0516,Cp_0516_2,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,26.48,54.41,2,7.04,,7.04,2,c1,7,con,Piperine,Cp_0516,Cp_0516_2,Cp,1,7.16,1,L,Piperine,5,,,,,,,,,
,,,26.48,54.41,2,7.48,,7.48,2,c3,8,con,Piperine,Cp_0516,Cp_0516_2,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,26.48,54.41,2,26.28,,26.28,3,c4,9,con,Piperine,Cp_0516,Cp_0516_3,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,27.12,81.29,3,25,,25,3,p5,10,pip,Piperine,Cp_0516,Cp_0516_3,Cp,0,NA,NA,NA,Piperine,5,,,,,,,,,
,,,26.52,0,1,19.5,,19.5,1,c1,1,con,Piperine,Cp_0517,Cp_0517_1,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.52,26.52,2,14.35,,14.35,1,c4,2,con,Piperine,Cp_0517,Cp_0517_1,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.5,80.37,4,13.09,,13.09,1,c2,3,con,Piperine,Cp_0517,Cp_0517_1,Cp,1,13.2,1,L,Piperine,3,,,,,,,,,
,,,26.5,80.37,4,13.47,,13.47,2,c3,4,con,Piperine,Cp_0517,Cp_0517_2,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,,2.37,2.37,1,c5,5,con,Piperine,Cp_0517,Cp_0517_1,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,26.51,,26.51,NA,p1,6,pip,Piperine,Cp_0517,Cp_0517_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,26.51,,26.51,NA,p2,6,pip,Piperine,Cp_0517,Cp_0517_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,26.51,,26.51,NA,p3,6,pip,Piperine,Cp_0517,Cp_0517_NA,Cp,,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,26.51,,26.51,NA,p4,6,pip,Piperine,Cp_0517,Cp_0517_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,26.51,107.27,5,26.51,,26.51,NA,p5,6,pip,Piperine,Cp_0517,Cp_0517_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,22.59,0,0,8.04,,8.04,1,p4,1,pip,Piperine,Cc_0517,Cc_0517_1,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,22.59,0,0,12.41,,12.41,3,p2,2,pip,Piperine,Cc_0517,Cc_0517_3,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,23.05,22.59,1,,19.55,19.55,1,c1,3,con,Piperine,Cc_0517,Cc_0517_1,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,p1,4,pip,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,p3,4,pip,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,p5,4,pip,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,c2,4,con,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,c3,4,con,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,c4,4,con,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.03,69.09,5,14.03,,14.03,NA,c5,4,con,Piperine,Cc_0517,Cc_0517_NA,Cc,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,13.44,0,0,6.17,,6.17,1,c3,1,con,Piperine,Cp_0518,Cp_0518_1,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,13.44,0,0,7.19,,7.19,1,c2,2,con,Piperine,Cp_0518,Cp_0518_1,Cp,1,8.13,3,L,Piperine,3,,,,,,,,,
,,,13.44,0,0,9.37,,9.37,1,c5,3,con,Piperine,Cp_0518,Cp_0518_1,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,30.18,13.44,2,0,,0,2,c1,4,con,Piperine,Cp_0518,Cp_0518_2,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,30.18,13.44,2,27.1,,27.1,3,p3,5,pip,Piperine,Cp_0518,Cp_0518_3,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,30.2,44.02,3,23.41,,23.41,3,p4,6,pip,Piperine,Cp_0518,Cp_0518_3,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,6.53,105.1,5,6.53,,6.53,NA,c4,7,con,Piperine,Cp_0518,Cp_0518_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,6.53,105.1,5,6.53,,6.53,NA,p1,7,pip,Piperine,Cp_0518,Cp_0518_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,6.53,105.1,5,6.53,,6.53,NA,p2,7,pip,Piperine,Cp_0518,Cp_0518_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,6.53,105.1,5,6.53,,6.53,NA,p5,7,pip,Piperine,Cp_0518,Cp_0518_NA,Cp,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.57,0,0,3.24,,3.24,1,c1,1,con,Piperine,Cs_0518,Cs_0518_1,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.57,0,0,8.36,,8.36,2,c2,2,con,Piperine,Cs_0518,Cs_0518_2,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.57,0,0,10.36,,10.36,3,c3,3,con,Piperine,Cs_0518,Cs_0518_3,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,14.57,0,0,11.39,,11.39,3,c5,4,con,Piperine,Cs_0518,Cs_0518_3,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,22.52,60.41,3,10.47,,10.47,1,p2,5,pip,Piperine,Cs_0518,Cs_0518_1,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,22.52,60.41,3,11.21,,11.21,3,c4,6,con,Piperine,Cs_0518,Cs_0518_3,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,1.2,83.33,4,1.2,,1.2,NA,p1,7,pip,Piperine,Cs_0518,Cs_0518_NA,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,1.2,83.33,4,1.2,,1.2,NA,p3,7,pip,Piperine,Cs_0518,Cs_0518_NA,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,1.2,83.33,4,1.2,,1.2,NA,p4,7,pip,Piperine,Cs_0518,Cs_0518_NA,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,1.2,83.33,4,1.2,,1.2,NA,p5,7,pip,Piperine,Cs_0518,Cs_0518_NA,Cs,0,NA,NA,NA,Piperine,3,,,,,,,,,
,,,30.27,29.53,2,,1.26,1.26,2,p4,1,pip,Piperine,Cp_0519,Cp_0519_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,30.27,29.53,2,,1.36,1.36,2,c5,2,con,Piperine,Cp_0519,Cp_0519_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,30.27,29.53,2,,4.32,4.32,1,c1,3,con,Piperine,Cp_0519,Cp_0519_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,30.27,29.53,2,6.13,,6.13,1,p2,4,pip,Piperine,Cp_0519,Cp_0519_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,30.06,60.2,3,,14.25,14.25,2,c4,5,con,Piperine,Cp_0519,Cp_0519_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,30.06,60.2,3,,14.46,14.46,1,c2,6,con,Piperine,Cp_0519,Cp_0519_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,23.03,90.26,4,3.01,,3.01,1,c3,7,con,Piperine,Cp_0519,Cp_0519_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,23.03,90.26,4,23.03,,23.03,NA,p1,8,pip,Piperine,Cp_0519,Cp_0519_NA,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,23.03,90.26,4,23.03,,23.03,NA,p3,8,pip,Piperine,Cp_0519,Cp_0519_NA,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,23.03,90.26,4,23.03,,23.03,NA,p5,8,pip,Piperine,Cp_0519,Cp_0519_NA,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,22.52,0,0,14.42,,14.42,2,c2,1,con,Piperine,Cs_0519,Cs_0519_2,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,22.52,0,0,14.53,,14.53,1,c3,2,con,Piperine,Cs_0519,Cs_0519_1,Cs,1,15.37,2,L,Piperine,2,,,,,,,,,
,,,22.52,22.52,1,3.31,,3.31,1,c4,3,con,Piperine,Cs_0519,Cs_0519_1,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,22.52,22.52,1,11.21,,11.21,1,c1,4,con,Piperine,Cs_0519,Cs_0519_1,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,22.52,22.52,1,,14.05,14.05,2,c5,5,con,Piperine,Cs_0519,Cs_0519_2,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,16.16,68.36,3,16.16,,16.16,NA,p1,6,pip,Piperine,Cs_0519,Cs_0519_NA,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,16.16,68.36,3,16.16,,16.16,NA,p2,6,pip,Piperine,Cs_0519,Cs_0519_NA,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,16.16,68.36,3,16.16,,16.16,NA,p3,6,pip,Piperine,Cs_0519,Cs_0519_NA,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,16.16,68.36,3,16.16,,16.16,NA,p4,6,pip,Piperine,Cs_0519,Cs_0519_NA,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,16.16,68.36,3,16.16,,16.16,NA,p5,6,pip,Piperine,Cs_0519,Cs_0519_NA,Cs,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,26.24,26.06,6,3.46,,3.46,2,c1,1,con,Piperine,Cc_0519,Cc_0519_2,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,26.24,26.06,6,,8.33,8.33,1,c2,2,con,Piperine,Cc_0519,Cc_0519_1,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,c3,3,con,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,c4,3,con,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,c5,3,con,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,p1,3,pip,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,p2,3,pip,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,p3,3,pip,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,p4,3,pip,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,9.11,106.11,9,9.11,,9.11,NA,p5,3,pip,Piperine,Cc_0519,Cc_0519_NA,Cc,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,41.22,0,5,,5.2,5.2,1,f4,1,pip,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f1,2,pip,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f2,2,pip,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f3,2,pip,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f5,2,pip,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f6,2,con,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f7,2,con,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f8,2,con,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f9,2,con,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,13.26,123.58,8,13.26,,13.26,1,f10,2,con,Piperine,Cc_0717,Cc_0717_1,Cc,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,41.14,0,6,,11.31,11.31,2,f10,1,con,Piperine,Cp_0717,Cp_0717_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,41.14,0,6,,13.03,13.03,2,f9,2,con,Piperine,Cp_0717,Cp_0717_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,41.14,0,6,,14.32,14.32,2,f8,3,con,Piperine,Cp_0717,Cp_0717_2,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,41.14,0,6,,39.42,39.42,1,f3,4,pip,Piperine,Cp_0717,Cp_0717_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,41.14,0,6,,40.06,40.06,1,f4,5,pip,Piperine,Cp_0717,Cp_0717_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,31.44,82.45,9,,3.35,3.35,NA,f1,6,pip,Piperine,Cp_0717,Cp_0717_NA,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,31.44,82.45,9,,16.58,16.58,1,f7,7,con,Piperine,Cp_0717,Cp_0717_1,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,25.1,82.45,9,25.1,,25.1,NA,f2,8,pip,Piperine,Cp_0717,Cp_0717_NA,Cp,0,NA,NA,NA,Piperine,2,,,,,,,,,
,,,25.1,82.45,9,25.1,,25.1,NA,f5,8,pip,Piperine,Cp_0717,Cp_0717_NA,Cp,0,NA,NA,NA,Piperine,2,unknown fruit f6 fate. Disappeared between clips 7 and 8,,,,,,,,
,,,41.12,0,24,,4.51,4.51,1,f9,1,con,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,41.12,81.24,26,,36.36,36.36,1,f10,2,con,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f1,3,pip,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f2,3,pip,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f3,3,pip,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f4,3,pip,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f5,3,pip,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f6,3,con,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f7,3,con,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,23.38,123.4,27,23.38,,23.38,1,f8,3,con,Piperine,Cs_0717,Cs_0717_1,Cs,0,NA,NA,NA,Piperine,1,,,,,,,,,
,,,41.15,0,1,,5.1,5.1,5,f9,1,pip,Piperine,Cp_0724_pp,Cp_0724_pp_5,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.15,0,1,,6.32,6.32,6,f3,2,con,Piperine,Cp_0724_pp,Cp_0724_pp_6,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.15,0,1,,40.25,40.25,6,f4,3,con,Piperine,Cp_0724_pp,Cp_0724_pp_6,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,0.12,0.12,5,f7,4,pip,Piperine,Cp_0724_pp,Cp_0724_pp_5,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,6.35,6.35,1,f2,5,con,Piperine,Cp_0724_pp,Cp_0724_pp_1,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,31.1,31.1,5,f8,6,pip,Piperine,Cp_0724_pp,Cp_0724_pp_5,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,31.42,31.42,6,f1,7,con,Piperine,Cp_0724_pp,Cp_0724_pp_6,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,34.52,34.52,1,f5,8,con,Piperine,Cp_0724_pp,Cp_0724_pp_1,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,36.48,36.48,1,f10,9,pip,Piperine,Cp_0724_pp,Cp_0724_pp_1,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.17,41.15,2,,39.11,39.11,6,f6,10,pip,Piperine,Cp_0724_pp,Cp_0724_pp_6,Cp,0,NA,NA,NA,Piperine,4,,,,,,,,,
,,,41.13,0,0,,10.24,10.24,2,f3,1,pip,Piperine,Cc_0725,Cc_0725_2,Cc,0,NA,NA,NA,Piperine,5,,,,,,,,,
